distancia_percorrida_km,tempo_viagem_horas,eficiencia_combustivel_kml,custo_manutencao_rs,idade_motorista_anos
218.54,3.17,10.64,832.99,27
477.82,6.68,6.9,3263.88,40
379.4,5.47,7.15,2201.5,47
319.4,3.57,11.33,1571.24,35
120.21,1.61,13.22,288.59,36
120.2,1.9,11.74,343.41,34
76.14,1.83,12.41,280.46,56
439.78,6.02,6.69,2739.03,40
320.5,4.17,8.37,1833.12,32
368.63,5.02,8.34,1888.51,36
59.26,1.3,14.29,62.44,48
486.46,7.11,5.2,3491.67,52
424.6,5.8,5.66,2715.5,32
145.55,2.34,10.57,328.94,52
131.82,1.93,11.92,306.49,50
132.53,2.38,13.21,281.18,32
186.91,2.32,11.48,554.69,52
286.14,3.92,8.03,1405.69,52
244.38,3.3,10.29,1029.9,51
181.05,1.85,11.76,510.17,41
325.33,4.8,7.61,1754.0,33
112.77,1.74,12.9,277.86,57
181.47,2.59,11.43,663.12,44
214.86,2.95,9.56,851.57,37
255.23,2.94,10.25,992.21,52
403.33,5.55,7.49,2393.93,53
139.85,1.83,13.29,438.8,37
281.41,3.62,10.43,1342.68,59
316.59,4.44,7.29,1582.28,30
70.9,1.21,12.64,118.92,42
323.4,5.56,9.05,1774.0,29
126.74,1.9,12.98,245.77,49
79.27,1.26,13.93,185.75,26
477.0,6.78,9.31,3293.38,34
484.53,5.96,5.88,3386.66,54
413.78,5.9,7.86,2675.26,29
187.08,2.7,12.21,697.16,57
93.95,2.57,13.77,259.26,25
357.9,5.02,7.53,2106.39,42
248.07,3.69,10.8,1023.51,56
104.92,1.48,12.13,285.21,35
272.83,3.31,9.31,1181.17,45
65.47,1.51,13.21,125.29,50
459.19,6.94,5.9,3081.29,49
166.45,2.77,13.99,507.76,46
348.14,4.52,6.17,1939.33,51
190.27,3.42,11.88,551.81,37
284.03,3.36,7.71,1512.49,57
296.02,4.52,8.61,1303.33,58
133.18,3.0,13.43,212.0,59
486.31,6.45,5.34,3546.8,25
398.81,5.41,5.95,2479.92,45
472.77,6.8,4.83,3323.39,30
452.67,6.22,6.63,3078.49,52
319.05,3.78,7.89,1605.45,41
464.84,6.67,5.92,3073.44,29
89.82,0.75,13.25,171.66,55
138.19,2.21,11.58,288.6,29
70.35,0.55,15.74,203.21,27
196.4,3.58,11.71,656.13,47
224.9,2.82,8.48,773.64,34
172.11,2.3,11.74,496.8,34
422.93,6.45,5.88,2709.73,43
210.54,2.39,11.64,703.9,41
176.42,2.63,10.68,470.82,45
294.21,4.86,9.0,1412.92,38
113.42,0.82,13.24,274.18,33
410.99,5.96,7.65,2483.64,25
83.55,1.32,12.13,96.93,37
494.1,7.45,4.78,3553.7,28
397.51,5.06,6.57,2241.89,25
139.42,1.33,11.56,221.3,56
52.48,1.01,15.72,-9.47,58
416.96,6.11,7.07,2579.63,52
368.09,5.38,6.38,2109.25,55
378.05,5.57,8.36,2328.08,32
397.07,5.33,9.18,2467.72,50
83.32,1.31,14.37,127.33,58
211.31,3.17,9.25,763.39,27
102.14,1.1,12.47,106.54,36
438.4,7.2,7.5,2844.78,25
330.48,4.96,7.68,1682.89,29
198.9,2.25,11.47,718.6,54
78.6,1.45,14.2,46.32,54
189.94,2.23,10.27,683.6,41
196.33,3.2,11.01,823.71,47
378.32,5.98,4.19,2172.47,39
336.9,4.4,7.24,1812.21,45
449.25,6.9,5.76,3043.7,38
262.5,3.96,8.5,1090.7,26
103.82,1.89,14.56,235.35,35
370.96,6.25,6.15,2108.72,58
392.35,5.48,6.71,2341.02,58
302.57,3.95,9.08,1383.09,42
396.94,5.23,8.5,2382.94,54
272.21,3.48,8.12,1257.03,39
285.23,4.04,10.46,1458.28,51
242.39,3.63,10.16,1075.66,58
61.44,1.02,12.79,298.14,57
98.55,1.82,13.49,117.16,48
